Parti,Durum,Tahmin,Doğru_mu,Max_Skor,Ort_Skor,İlk_Alarm_t
129469,Anormal,Anormal,True,0.5395770227655851,0.46767659089112534,32.0
129487,Anormal,Anormal,True,0.5996674561779434,0.49471069208833324,134.0
129588,Normal,Normal,True,0.4875536080497654,0.4363580545629033,
129705,Normal,Anormal,False,0.6015919549131119,0.4680762078914477,30.0
129706,Normal,Anormal,False,0.5747675731887933,0.5193713392845433,65.0
129737,Normal,Normal,True,0.523668779461404,0.44842644994675834,
129938,Normal,Normal,True,0.5380171059221611,0.4389805793867871,
129939,Normal,Normal,True,0.49460244484673566,0.4358132701049861,
130246,Anormal,Anormal,True,0.6473919829181151,0.6007955268979942,30.0
130565,Anormal,Anormal,True,0.6369932655863119,0.5526495623319847,43.0
130567,Anormal,Anormal,True,0.5555462020315876,0.4724015907684,356.0
130569,Anormal,Anormal,True,0.6089019244345529,0.5273790540620975,30.0
